Thu Jan 31 14:00:08 CST 2019 Starting regionserver on hadoop02
core file size          (blocks, -c) 0
data seg size           (kbytes, -d) unlimited
scheduling priority             (-e) 0
file size               (blocks, -f) unlimited
pending signals                 (-i) 31403
max locked memory       (kbytes, -l) 64
max memory size         (kbytes, -m) unlimited
open files                      (-n) 655350
pipe size            (512 bytes, -p) 8
POSIX message queues     (bytes, -q) 819200
real-time priority              (-r) 0
stack size              (kbytes, -s) 10240
cpu time               (seconds, -t) unlimited
max user processes              (-u) 1024
virtual memory          (kbytes, -v) unlimited
file locks                      (-x) unlimited
2019-01-31 14:00:09,275 INFO  [main] regionserver.HRegionServer: STARTING executorService HRegionServer
2019-01-31 14:00:09,277 INFO  [main] util.VersionInfo: HBase 2.1.2
2019-01-31 14:00:09,277 INFO  [main] util.VersionInfo: Source code repository git://kalashnikov/Users/stack/checkouts/hbase.git revision=1dfc418f77801fbfb59a125756891b9100c1fc6d
2019-01-31 14:00:09,277 INFO  [main] util.VersionInfo: Compiled by stack on Sun Dec 30 21:45:09 PST 2018
2019-01-31 14:00:09,277 INFO  [main] util.VersionInfo: From source with checksum 5701bcce2fc4832a4b2990adc735b516
2019-01-31 14:00:09,645 INFO  [main] util.ServerCommandLine: hbase.tmp.dir: /tmp/hbase-hadoop
2019-01-31 14:00:09,645 INFO  [main] util.ServerCommandLine: hbase.rootdir: hdfs://hadoop01:9000/hbase
2019-01-31 14:00:09,645 INFO  [main] util.ServerCommandLine: hbase.cluster.distributed: true
2019-01-31 14:00:09,645 INFO  [main] util.ServerCommandLine: hbase.zookeeper.quorum: hadoop01,hadoop02,hadoop03
2019-01-31 14:00:09,646 INFO  [main] util.ServerCommandLine: env:HBASE_LOGFILE=hbase-hadoop-regionserver-hadoop02.log
2019-01-31 14:00:09,646 INFO  [main] util.ServerCommandLine: env:PATH=/bin:/sbin:/usr/bin:/usr/sbin:/usr/local/bin:/usr/local/sbin:/usr/local/python/bin:/usr/local/bin:/bin:/usr/bin:/usr/java/default/bin
2019-01-31 14:00:09,647 INFO  [main] util.ServerCommandLine: env:JAVA_HOME=/usr/java/default
2019-01-31 14:00:09,647 INFO  [main] util.ServerCommandLine: env:XFILESEARCHPATH=/usr/dt/app-defaults/%L/Dt
2019-01-31 14:00:09,647 INFO  [main] util.ServerCommandLine: env:LANG=en_US.UTF-8
2019-01-31 14:00:09,647 INFO  [main] util.ServerCommandLine: env:G_BROKEN_FILENAMES=1
2019-01-31 14:00:09,647 INFO  [main] util.ServerCommandLine: env:JRE_HOME=/usr/java/default/jre
2019-01-31 14:00:09,647 INFO  [main] util.ServerCommandLine: env:MAIL=/var/mail/hadoop
2019-01-31 14:00:09,647 INFO  [main] util.ServerCommandLine: env:LD_LIBRARY_PATH=::/mnt/opt/hbase-2.1.2/bin/../lib/native/Linux-amd64-64/:/usr/local/lib/:/mnt/opt/hbase-2.1.2/bin/../lib/native/Linux-amd64-64
2019-01-31 14:00:09,647 INFO  [main] util.ServerCommandLine: env:LOGNAME=hadoop
2019-01-31 14:00:09,647 INFO  [main] util.ServerCommandLine: env:HBASE_REST_OPTS=
2019-01-31 14:00:09,647 INFO  [main] util.ServerCommandLine: env:PWD=/home/hadoop
2019-01-31 14:00:09,647 INFO  [main] util.ServerCommandLine: env:HISTTIMEFORMAT=%F %T hadoop
2019-01-31 14:00:09,647 INFO  [main] util.ServerCommandLine: env:HBASE_ROOT_LOGGER=INFO,RFA
2019-01-31 14:00:09,647 INFO  [main] util.ServerCommandLine: env:LESSOPEN=||/usr/bin/lesspipe.sh %s
2019-01-31 14:00:09,647 INFO  [main] util.ServerCommandLine: env:SHELL=/bin/bash
2019-01-31 14:00:09,647 INFO  [main] util.ServerCommandLine: env:HBASE_ENV_INIT=true
2019-01-31 14:00:09,647 INFO  [main] util.ServerCommandLine: env:CVS_RSH=ssh
2019-01-31 14:00:09,647 INFO  [main] util.ServerCommandLine: env:HBASE_IDENT_STRING=hadoop
2019-01-31 14:00:09,647 INFO  [main] util.ServerCommandLine: env:HBASE_ZNODE_FILE=/tmp/hbase-hadoop-regionserver.znode
2019-01-31 14:00:09,647 INFO  [main] util.ServerCommandLine: env:SSH_CLIENT=172.16.18.13 12379 22
2019-01-31 14:00:09,648 INFO  [main] util.ServerCommandLine: env:HBASE_LOG_PREFIX=hbase-hadoop-regionserver-hadoop02
2019-01-31 14:00:09,648 INFO  [main] util.ServerCommandLine: env:HBASE_LOG_DIR=/mnt/opt/hbase-2.1.2/bin/../logs
2019-01-31 14:00:09,648 INFO  [main] util.ServerCommandLine: env:USER=hadoop
2019-01-31 14:00:09,648 INFO  [main] util.ServerCommandLine: 2.5.0.jar:/mnt/opt/hbase-2.1.2/bin/../lib/snappy-java-1.0.5.jar:/mnt/opt/hbase-2.1.2/bin/../lib/spymemcached-2.12.2.jar:/mnt/opt/hbase-2.1.2/bin/../lib/validation-api-1.1.0.Final.jar:/mnt/opt/hbase-2.1.2/bin/../lib/xmlenc-0.52.jar:/mnt/opt/hbase-2.1.2/bin/../lib/xz-1.0.jar:/mnt/opt/hbase-2.1.2/bin/../lib/zookeeper-3.4.10.jar:/mnt/opt/hbase-2.1.2/bin/../lib/client-facing-thirdparty/audience-annotations-0.5.0.jar:/mnt/opt/hbase-2.1.2/bin/../lib/client-facing-thirdparty/commons-logging-1.2.jar:/mnt/opt/hbase-2.1.2/bin/../lib/client-facing-thirdparty/findbugs-annotations-1.3.9-1.jar:/mnt/opt/hbase-2.1.2/bin/../lib/client-facing-thirdparty/htrace-core4-4.2.0-incubating.jar:/mnt/opt/hbase-2.1.2/bin/../lib/client-facing-thirdparty/log4j-1.2.17.jar:/mnt/opt/hbase-2.1.2/bin/../lib/client-facing-thirdparty/slf4j-api-1.7.25.jar:/mnt/opt/hbase-2.1.2/bin/../lib/client-facing-thirdparty/htrace-core-3.1.0-incubating.jar:/mnt/opt/hbase-2.1.2/bin/../lib/client-facing-thirdparty/slf4j-log4j12-1.7.25.jar
2019-01-31 14:00:09,648 INFO  [main] util.ServerCommandLine: env:HBASE_MANAGES_ZK=false
2019-01-31 14:00:09,648 INFO  [main] util.ServerCommandLine: env:HBASE_LIBRARY_PATH=:/mnt/opt/hbase-2.1.2/bin/../lib/native/Linux-amd64-64/:/usr/local/lib/
2019-01-31 14:00:09,648 INFO  [main] util.ServerCommandLine: env:SSH_CONNECTION=172.16.18.13 12379 172.16.18.14 22
2019-01-31 14:00:09,648 INFO  [main] util.ServerCommandLine: env:HBASE_AUTOSTART_FILE=/tmp/hbase-hadoop-regionserver.autostart
2019-01-31 14:00:09,648 INFO  [main] util.ServerCommandLine: env:NLSPATH=/usr/dt/lib/nls/msg/%L/%N.cat
2019-01-31 14:00:09,648 INFO  [main] util.ServerCommandLine: env:HBASE_NICENESS=0
2019-01-31 14:00:09,648 INFO  [main] util.ServerCommandLine: env:HBASE_OPTS= -XX:+UseConcMarkSweepGC   -Dhbase.log.dir=/mnt/opt/hbase-2.1.2/bin/../logs -Dhbase.log.file=hbase-hadoop-regionserver-hadoop02.log -Dhbase.home.dir=/mnt/opt/hbase-2.1.2/bin/.. -Dhbase.id.str=hadoop -Dhbase.root.logger=INFO,RFA -Djava.library.path=:/mnt/opt/hbase-2.1.2/bin/../lib/native/Linux-amd64-64/:/usr/local/lib/:/mnt/opt/hbase-2.1.2/bin/../lib/native/Linux-amd64-64 -Dhbase.security.logger=INFO,RFAS
2019-01-31 14:00:09,648 INFO  [main] util.ServerCommandLine: env:HBASE_SECURITY_LOGGER=INFO,RFAS
2019-01-31 14:00:09,648 INFO  [main] util.ServerCommandLine: env:HBASE_THRIFT_OPTS=
2019-01-31 14:00:09,648 INFO  [main] util.ServerCommandLine: env:HBASE_HOME=/mnt/opt/hbase-2.1.2/bin/..
2019-01-31 14:00:09,649 INFO  [main] util.ServerCommandLine: env:SHLVL=3
2019-01-31 14:00:09,649 INFO  [main] util.ServerCommandLine: env:HOME=/home/hadoop
2019-01-31 14:00:09,649 INFO  [main] util.ServerCommandLine: env:MALLOC_ARENA_MAX=4
2019-01-31 14:00:09,651 INFO  [main] util.ServerCommandLine: vmName=Java HotSpot(TM) 64-Bit Server VM, vmVendor=Oracle Corporation, vmVersion=25.112-b15
2019-01-31 14:00:09,651 INFO  [main] util.ServerCommandLine: vmInputArguments=[-Dproc_regionserver, -XX:OnOutOfMemoryError=kill -9 %p, -XX:+UseConcMarkSweepGC, -Dhbase.log.dir=/mnt/opt/hbase-2.1.2/bin/../logs, -Dhbase.log.file=hbase-hadoop-regionserver-hadoop02.log, -Dhbase.home.dir=/mnt/opt/hbase-2.1.2/bin/.., -Dhbase.id.str=hadoop, -Dhbase.root.logger=INFO,RFA, -Djava.library.path=:/mnt/opt/hbase-2.1.2/bin/../lib/native/Linux-amd64-64/:/usr/local/lib/:/mnt/opt/hbase-2.1.2/bin/../lib/native/Linux-amd64-64, -Dhbase.security.logger=INFO,RFAS]
2019-01-31 14:00:10,192 INFO  [main] metrics.MetricRegistries: Loaded MetricRegistries class org.apache.hadoop.hbase.metrics.impl.MetricRegistriesImpl
2019-01-31 14:00:10,242 WARN  [main] util.NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2019-01-31 14:00:10,481 INFO  [main] regionserver.RSRpcServices: regionserver/hadoop02:16020 server-side Connection retries=45
2019-01-31 14:00:10,499 INFO  [main] ipc.RpcExecutor: Instantiated default.FPBQ.Fifo with queueClass=class java.util.concurrent.LinkedBlockingQueue; numCallQueues=3, maxQueueLength=300, handlerCount=30
2019-01-31 14:00:10,501 INFO  [main] ipc.RpcExecutor: Instantiated priority.FPBQ.Fifo with queueClass=class java.util.concurrent.LinkedBlockingQueue; numCallQueues=2, maxQueueLength=300, handlerCount=20
2019-01-31 14:00:10,502 INFO  [main] ipc.RpcExecutor: Instantiated replication.FPBQ.Fifo with queueClass=class java.util.concurrent.LinkedBlockingQueue; numCallQueues=1, maxQueueLength=300, handlerCount=3
2019-01-31 14:00:10,635 INFO  [main] ipc.RpcServerFactory: Creating org.apache.hadoop.hbase.ipc.NettyRpcServer hosting hbase.pb.ClientService, hbase.pb.AdminService
2019-01-31 14:00:10,861 INFO  [main] io.ByteBufferPool: Created with bufferSize=64 KB and maxPoolSize=1.88 KB
2019-01-31 14:00:10,970 INFO  [main] ipc.NettyRpcServer: Bind to /172.16.18.14:16020
2019-01-31 14:00:11,054 INFO  [main] hfile.CacheConfig: Allocating onheap LruBlockCache size=787.50 MB, blockSize=64 KB
2019-01-31 14:00:11,061 INFO  [main] hfile.CacheConfig: Created cacheConfig: blockCache=LruBlockCache{blockCount=0, currentSize=591.60 KB, freeSize=786.92 MB, maxSize=787.50 MB, heapSize=591.60 KB, minSize=748.13 MB, minFactor=0.95, multiSize=374.06 MB, multiFactor=0.5, singleSize=187.03 MB, singleFactor=0.25}, cacheDataOnRead=true, cacheDataOnWrite=false, cacheIndexesOnWrite=false, cacheBloomsOnWrite=false, cacheEvictOnClose=false, cacheDataCompressed=false, prefetchOnOpen=false
